order_id,customer_id,product_id,quantity,status,order_date,price,sales
o0060,c0374,p0013,1,pending,25-11-02,74999,74999
o0061,c0338,p0020,5,shipped,25-04-28,29999,149995
o0062,c0122,p0023,5,shipped,26-04-02,39999,199995
o0063,c0071,p0027,3,pending,26-07-14,7999,23997
o0064,c0027,p0028,5,shipped,26-02-22,59999,299995
o0065,c0373,p0030,4,cancelled,26-10-31,32999,131996
o0066,c0094,p0006,3,delivered,26-07-18,89999,269997
o0067,c0344,p0026,2,cancelled,26-12-05,12999,25998
o0068,c0125,p0017,1,delivered,25-06-12,49999,49999
o0069,c0312,p0015,1,delivered,26-09-07,34999,34999
o0070,c0242,p0021,1,delivered,25-09-04,9999,9999
o0071,c0366,p0010,5,pending,26-05-18,179999,899995
o0072,c0400,p0006,5,shipped,26-03-06,89999,449995
o0073,c0462,p0001,4,shipped,26-12-24,199999,799996
o0074,c0001,p0010,1,pending,25-10-16,179999,179999
o0075,c0226,p0023,4,delivered,25-06-12,39999,159996
o0076,c0121,p0011,1,cancelled,25-10-05,89999,89999
o0077,c0284,p0023,5,shipped,26-05-23,39999,199995
o0078,c0447,p0014,5,shipped,26-09-10,54999,274995
o0079,c0117,p0026,3,cancelled,26-06-05,12999,38997
o0080,c0249,p0016,4,cancelled,25-11-16,42999,171996
o0081,c0015,p0006,4,cancelled,26-06-18,89999,359996
o0082,c0473,p0030,4,pending,25-02-27,32999,131996
o0083,c0496,p0027,3,pending,26-01-01,7999,23997
o0084,c0023,p0026,5,shipped,25-07-03,12999,64995
o0085,c0179,p0004,2,cancelled,25-06-18,129999,259998
o0086,c0383,p0022,3,pending,26-03-19,19999,59997
o0087,c0320,p0016,3,delivered,26-04-26,42999,128997
o0088,c0171,p0024,3,cancelled,26-07-26,17999,53997
o0089,c0214,p0003,3,pending,25-12-05,139999,419997
o0090,c0125,p0019,5,pending,25-03-04,45999,229995
o0091,c0059,p0006,5,delivered,25-10-17,89999,449995
o0092,c0403,p0012,5,cancelled,25-09-13,79999,399995
o0093,c0103,p0022,2,shipped,26-11-01,19999,39998
o0094,c0124,p0008,2,delivered,25-05-17,189999,379998
o0095,c0418,p0011,5,pending,25-02-08,89999,449995
o0096,c0249,p0019,3,shipped,26-04-23,45999,137997
o0097,c0263,p0009,3,cancelled,26-01-18,149999,449997
o0098,c0071,p0017,3,pending,25-09-20,49999,149997
o0099,c0373,p0009,3,cancelled,25-09-19,149999,449997
o0100,c0080,p0026,3,cancelled,26-09-09,12999,38997
o0101,c0208,p0001,2,delivered,25-12-20,199999,399998
o0102,c0078,p0010,4,delivered,26-03-09,179999,719996
o0103,c0133,p0006,1,cancelled,26-05-19,89999,89999
o0104,c0362,p0003,1,pending,25-11-05,139999,139999
o0105,c0395,p0006,2,cancelled,26-09-06,89999,179998
o0106,c0075,p0010,1,shipped,26-05-08,179999,179999
o0107,c0024,p0026,3,cancelled,26-06-26,12999,38997
o0108,c0351,p0010,2,pending,26-11-11,179999,359998
o0109,c0368,p0007,3,shipped,26-12-29,159999,479997
o0110,c0163,p0028,3,shipped,26-12-26,59999,179997
o0111,c0111,p0015,3,delivered,26-07-10,34999,104997
o0112,c0237,p0002,1,cancelled,25-02-23,149999,149999
o0113,c0341,p0015,3,delivered,25-07-05,34999,104997
o0114,c0430,p0012,1,cancelled,26-03-11,79999,79999
o0115,c0380,p0003,5,cancelled,26-11-22,139999,699995
o0116,c0466,p0001,1,pending,25-08-07,199999,199999
o0117,c0032,p0015,2,pending,25-01-09,34999,69998
o0118,c0349,p0003,1,cancelled,26-03-17,139999,139999
o0119,c0404,p0014,5,delivered,26-05-17,54999,274995
o0120,c0127,p0023,2,shipped,25-08-04,39999,79998
o0121,c0086,p0004,3,cancelled,26-05-14,129999,389997
o0122,c0451,p0030,3,cancelled,26-05-21,32999,98997
o0123,c0050,p0021,4,shipped,25-12-16,9999,39996
o0124,c0238,p0028,2,pending,25-02-28,59999,119998
o0125,c0412,p0009,5,shipped,25-12-19,149999,749995
o0126,c0302,p0001,5,cancelled,25-05-17,199999,999995
o0127,c0303,p0022,4,shipped,26-04-14,19999,79996
o0128,c0464,p0022,2,pending,25-05-08,19999,39998
o0129,c0356,p0021,3,cancelled,26-05-18,9999,29997
o0130,c0090,p0012,1,shipped,26-06-29,79999,79999
o0131,c0466,p0001,4,pending,25-05-16,199999,799996
o0132,c0325,p0019,5,pending,25-01-13,45999,229995
o0133,c0122,p0019,5,delivered,26-11-15,45999,229995
o0134,c0437,p0012,1,shipped,26-06-21,79999,79999
o0135,c0323,p0020,3,delivered,25-11-13,29999,89997
o0136,c0077,p0003,4,cancelled,26-05-13,139999,559996
o0137,c0387,p0004,1,delivered,26-09-27,129999,129999
o0138,c0138,p0024,1,cancelled,25-06-29,17999,17999
o0139,c0392,p0010,4,pending,25-02-12,179999,719996
o0140,c0447,p0016,1,pending,26-06-05,42999,42999
o0141,c0483,p0018,5,shipped,26-11-16,39999,199995
o0142,c0468,p0008,1,pending,25-03-09,189999,189999
o0143,c0110,p0004,4,delivered,26-12-20,129999,519996
o0144,c0274,p0019,2,cancelled,26-01-25,45999,91998
o0145,c0119,p0030,4,delivered,25-02-01,32999,131996
o0146,c0100,p0001,3,delivered,26-08-31,199999,599997
o0147,c0226,p0011,3,shipped,26-12-11,89999,269997
o0148,c0270,p0017,5,cancelled,25-03-29,49999,249995
o0149,c0052,p0015,3,delivered,25-12-14,34999,104997
o0150,c0413,p0020,2,pending,25-12-03,29999,59998
o0151,c0303,p0021,4,cancelled,25-11-02,9999,39996
o0152,c0151,p0025,2,pending,25-06-13,14999,29998
o0153,c0263,p0002,3,delivered,26-12-03,149999,449997
o0154,c0072,p0017,2,pending,26-06-01,49999,99998
o0155,c0091,p0011,5,delivered,25-06-30,89999,449995
o0156,c0281,p0021,5,delivered,25-06-10,9999,49995
o0157,c0379,p0006,2,shipped,25-08-02,89999,179998
o0158,c0325,p0010,3,cancelled,26-11-05,179999,539997
o0159,c0418,p0013,3,delivered,25-08-10,74999,224997
o0160,c0357,p0027,5,cancelled,25-11-28,7999,39995
o0161,c0056,p0021,3,cancelled,26-05-06,9999,29997
o0162,c0135,p0006,3,pending,26-01-08,89999,269997
o0163,c0441,p0006,1,delivered,25-05-31,89999,89999
o0164,c0225,p0007,5,pending,26-11-18,159999,799995
o0165,c0319,p0011,1,cancelled,26-11-29,89999,89999
o0166,c0081,p0003,1,delivered,25-10-23,139999,139999
o0167,c0329,p0003,4,shipped,26-11-01,139999,559996
o0168,c0111,p0013,5,delivered,25-05-31,74999,374995
o0169,c0165,p0023,5,cancelled,26-09-07,39999,199995
o0170,c0047,p0019,5,delivered,25-10-31,45999,229995
o0171,c0349,p0004,4,pending,26-10-02,129999,519996
o0172,c0069,p0029,4,shipped,25-08-26,24999,99996
o0173,c0227,p0017,5,pending,26-05-31,49999,249995
o0174,c0199,p0030,5,delivered,26-12-18,32999,164995
o0175,c0297,p0002,5,shipped,26-04-28,149999,749995
o0176,c0319,p0024,1,pending,26-01-31,17999,17999
o0177,c0181,p0014,5,shipped,26-05-25,54999,274995
o0178,c0373,p0014,1,delivered,25-05-18,54999,54999
o0179,c0083,p0014,2,pending,25-08-18,54999,109998
o0180,c0460,p0018,4,cancelled,26-11-29,39999,159996
o0181,c0058,p0014,3,delivered,26-09-24,54999,164997
o0182,c0483,p0012,2,pending,25-09-16,79999,159998
o0183,c0490,p0022,5,shipped,25-09-28,19999,99995
o0184,c0445,p0008,1,delivered,26-08-22,189999,189999
o0185,c0098,p0011,4,pending,26-04-28,89999,359996
o0186,c0440,p0030,2,delivered,26-01-21,32999,65998
o0187,c0360,p0006,3,cancelled,25-02-03,89999,269997
o0188,c0220,p0029,1,delivered,26-10-13,24999,24999
o0189,c0451,p0009,1,shipped,26-08-19,149999,149999
o0190,c0206,p0017,2,cancelled,26-01-10,49999,99998
o0191,c0342,p0024,1,pending,25-03-29,17999,17999
o0192,c0403,p0016,3,delivered,26-03-11,42999,128997
o0193,c0413,p0017,4,pending,26-02-27,49999,199996
o0194,c0252,p0015,2,pending,26-04-22,34999,69998
o0195,c0148,p0011,3,cancelled,26-11-24,89999,269997
o0196,c0006,p0005,1,delivered,25-01-17,119999,119999
o0197,c0315,p0005,5,shipped,25-08-05,119999,599995
o0198,c0291,p0026,4,shipped,26-09-06,12999,51996
o0199,c0119,p0002,4,pending,26-11-13,149999,599996
o0200,c0341,p0017,5,cancelled,26-07-29,49999,249995
o0201,c0402,p0029,4,pending,26-02-20,24999,99996
o0202,c0281,p0024,2,pending,26-02-25,17999,35998
o0203,c0257,p0024,3,pending,25-05-02,17999,53997
o0204,c0253,p0030,3,cancelled,26-08-23,32999,98997
o0205,c0259,p0015,5,cancelled,25-02-04,34999,174995
o0206,c0066,p0025,4,delivered,25-12-26,14999,59996
o0207,c0429,p0010,3,shipped,25-07-29,179999,539997
o0208,c0320,p0019,1,shipped,25-05-05,45999,45999
o0209,c0334,p0030,5,pending,25-10-11,32999,164995
o0210,c0351,p0012,2,cancelled,25-09-26,79999,159998
o0211,c0472,p0026,4,shipped,26-10-25,12999,51996
o0212,c0090,p0028,1,shipped,25-05-31,59999,59999
o0213,c0215,p0017,2,shipped,26-08-27,49999,99998
o0214,c0432,p0013,3,pending,25-12-03,74999,224997
o0215,c0305,p0029,5,shipped,26-10-04,24999,124995
o0216,c0116,p0008,1,pending,26-06-24,189999,189999
o0217,c0191,p0024,1,cancelled,25-03-18,17999,17999
o0218,c0252,p0027,4,cancelled,25-06-01,7999,31996
o0219,c0113,p0028,3,delivered,25-10-09,59999,179997
o0220,c0025,p0002,2,cancelled,26-06-04,149999,299998
o0221,c0170,p0029,1,pending,26-01-10,24999,24999
o0222,c0038,p0026,4,pending,26-04-04,12999,51996
o0223,c0463,p0015,3,pending,25-06-08,34999,104997
o0224,c0093,p0003,5,pending,25-04-01,139999,699995
o0225,c0456,p0004,2,cancelled,25-07-16,129999,259998
o0226,c0157,p0021,2,pending,26-06-05,9999,19998
o0227,c0094,p0025,2,pending,25-05-29,14999,29998
o0228,c0440,p0019,4,shipped,26-05-14,45999,183996
o0229,c0309,p0028,1,pending,25-10-26,59999,59999
o0230,c0435,p0007,5,delivered,25-12-17,159999,799995
o0231,c0217,p0019,1,shipped,26-07-12,45999,45999
o0232,c0479,p0016,2,shipped,26-10-10,42999,85998
o0233,c0030,p0023,3,delivered,26-06-22,39999,119997
o0234,c0205,p0021,4,cancelled,26-11-17,9999,39996
o0235,c0394,p0024,3,cancelled,26-07-05,17999,53997
o0236,c0313,p0002,5,shipped,26-09-29,149999,749995
o0237,c0014,p0011,5,delivered,26-06-30,89999,449995
o0238,c0416,p0030,5,cancelled,25-12-14,32999,164995
o0239,c0198,p0026,4,pending,25-03-07,12999,51996
o0240,c0090,p0020,2,delivered,25-10-18,29999,59998
o0241,c0339,p0007,2,shipped,25-07-18,159999,319998
o0242,c0065,p0003,1,shipped,26-05-28,139999,139999
o0243,c0165,p0012,2,shipped,25-07-09,79999,159998
o0244,c0366,p0006,2,cancelled,26-07-04,89999,179998
o0245,c0252,p0028,2,pending,25-04-16,59999,119998
o0246,c0491,p0009,5,shipped,26-03-22,149999,749995
o0247,c0457,p0005,5,delivered,25-06-07,119999,599995
o0248,c0392,p0016,5,cancelled,26-06-29,42999,214995
o0249,c0432,p0015,3,cancelled,26-03-03,34999,104997
o0250,c0183,p0028,5,pending,26-08-07,59999,299995
o0251,c0295,p0026,2,pending,26-02-13,12999,25998
o0252,c0211,p0024,3,cancelled,25-07-25,17999,53997
o0253,c0246,p0006,5,pending,26-04-01,89999,449995
o0254,c0447,p0011,4,pending,25-12-08,89999,359996
o0255,c0075,p0026,4,pending,25-06-01,12999,51996
o0256,c0374,p0029,1,pending,25-06-18,24999,24999
o0257,c0072,p0010,1,cancelled,25-09-30,179999,179999
o0258,c0013,p0019,2,shipped,25-02-26,45999,91998
o0259,c0309,p0018,4,shipped,25-04-28,39999,159996
o0260,c0471,p0001,3,cancelled,25-08-23,199999,599997
o0261,c0063,p0030,4,pending,25-06-10,32999,131996
o0262,c0405,p0011,3,pending,25-11-04,89999,269997
o0263,c0342,p0026,3,cancelled,26-02-08,12999,38997
o0264,c0092,p0017,2,shipped,26-01-20,49999,99998
o0265,c0048,p0002,3,delivered,25-04-24,149999,449997
o0266,c0341,p0021,2,shipped,26-04-02,9999,19998
o0267,c0109,p0024,3,cancelled,25-09-24,17999,53997
o0268,c0107,p0016,3,cancelled,25-05-17,42999,128997
o0269,c0020,p0006,3,delivered,25-04-14,89999,269997
o0270,c0350,p0026,4,shipped,25-05-10,12999,51996
o0271,c0381,p0004,5,cancelled,25-01-28,129999,649995
o0272,c0088,p0024,3,cancelled,26-03-23,17999,53997
o0273,c0202,p0027,5,shipped,26-09-16,7999,39995
o0274,c0335,p0015,2,shipped,25-06-12,34999,69998
o0275,c0352,p0028,1,pending,25-08-16,59999,59999
o0276,c0262,p0029,4,delivered,26-07-02,24999,99996
o0277,c0328,p0022,3,shipped,25-05-11,19999,59997
o0278,c0319,p0025,2,delivered,26-08-16,14999,29998
o0279,c0166,p0028,2,pending,26-01-01,59999,119998
o0280,c0476,p0016,2,pending,26-10-30,42999,85998
o0281,c0412,p0012,2,cancelled,25-12-04,79999,159998
o0282,c0083,p0029,2,shipped,26-05-02,24999,49998
o0283,c0458,p0007,1,delivered,25-01-26,159999,159999
o0284,c0443,p0015,1,cancelled,26-03-04,34999,34999
o0285,c0163,p0018,3,shipped,25-06-29,39999,119997
o0286,c0105,p0005,2,cancelled,25-02-05,119999,239998
o0287,c0200,p0024,1,cancelled,26-02-19,17999,17999
o0288,c0347,p0011,2,delivered,26-09-24,89999,179998
o0289,c0184,p0022,1,cancelled,25-05-29,19999,19999
o0290,c0113,p0017,1,delivered,26-10-29,49999,49999
o0291,c0317,p0006,5,cancelled,25-10-14,89999,449995
o0292,c0483,p0003,5,cancelled,25-01-02,139999,699995
o0293,c0130,p0001,4,cancelled,25-02-09,199999,799996
o0294,c0282,p0010,3,pending,25-06-19,179999,539997
o0295,c0024,p0001,3,shipped,26-06-20,199999,599997
o0296,c0019,p0002,3,cancelled,26-03-21,149999,449997
o0297,c0037,p0008,5,delivered,25-10-09,189999,949995
o0298,c0010,p0022,2,shipped,25-01-02,19999,39998
o0299,c0245,p0029,2,delivered,26-05-08,24999,49998
o0300,c0254,p0004,2,delivered,26-05-31,129999,259998
o0301,c0266,p0010,2,delivered,26-12-17,179999,359998
o0302,c0416,p0009,4,delivered,25-02-06,149999,599996
o0303,c0208,p0007,4,cancelled,25-09-05,159999,639996
o0304,c0257,p0005,5,cancelled,26-08-20,119999,599995
o0305,c0096,p0024,4,delivered,25-06-20,17999,71996
o0306,c0118,p0028,5,delivered,25-08-22,59999,299995
o0307,c0365,p0003,4,cancelled,25-11-26,139999,559996
o0308,c0247,p0014,5,delivered,26-10-06,54999,274995
o0309,c0172,p0030,1,cancelled,25-07-04,32999,32999
o0310,c0110,p0005,2,cancelled,26-06-14,119999,239998
o0311,c0171,p0012,5,shipped,26-10-12,79999,399995
o0312,c0282,p0004,5,shipped,26-11-03,129999,649995
o0313,c0229,p0004,4,pending,25-12-25,129999,519996
o0314,c0457,p0027,5,cancelled,25-06-25,7999,39995
o0315,c0111,p0006,2,delivered,26-08-14,89999,179998
o0316,c0106,p0023,5,delivered,25-03-15,39999,199995
o0317,c0295,p0030,3,pending,26-02-04,32999,98997
o0318,c0103,p0021,2,delivered,25-05-26,9999,19998
o0319,c0144,p0006,1,shipped,26-11-05,89999,89999
o0320,c0397,p0027,5,cancelled,25-08-28,7999,39995
o0321,c0407,p0014,4,shipped,26-04-12,54999,219996
o0322,c0189,p0020,2,pending,25-01-20,29999,59998
o0323,c0329,p0019,4,delivered,25-01-28,45999,183996
o0324,c0490,p0025,3,cancelled,26-05-14,14999,44997
o0325,c0262,p0018,4,pending,26-10-09,39999,159996
o0326,c0278,p0021,2,pending,26-03-26,9999,19998
o0327,c0123,p0030,1,delivered,26-05-11,32999,32999
o0328,c0333,p0030,5,cancelled,26-11-16,32999,164995
o0329,c0380,p0009,2,pending,26-10-03,149999,299998
o0330,c0354,p0027,5,cancelled,26-08-06,7999,39995
o0331,c0026,p0005,5,cancelled,25-06-12,119999,599995
o0332,c0268,p0010,1,shipped,25-12-24,179999,179999
o0333,c0150,p0029,5,pending,25-03-09,24999,124995
o0334,c0263,p0028,1,shipped,26-08-18,59999,59999
o0335,c0401,p0008,4,pending,26-04-04,189999,759996
o0336,c0306,p0027,5,shipped,25-10-08,7999,39995
o0337,c0322,p0001,4,pending,25-11-28,199999,799996
o0338,c0158,p0027,3,delivered,26-11-27,7999,23997
o0339,c0045,p0020,1,cancelled,25-01-13,29999,29999
o0340,c0009,p0013,5,delivered,26-01-13,74999,374995
o0341,c0378,p0007,3,delivered,25-10-17,159999,479997
o0342,c0010,p0020,1,delivered,26-10-02,29999,29999
o0343,c0241,p0026,3,pending,25-12-20,12999,38997
o0344,c0086,p0027,2,shipped,26-09-11,7999,15998
o0345,c0417,p0007,2,pending,26-05-14,159999,319998
o0346,c0301,p0012,1,delivered,26-11-12,79999,79999
o0347,c0103,p0005,2,delivered,26-05-31,119999,239998
o0348,c0439,p0029,5,cancelled,25-10-06,24999,124995
o0349,c0157,p0019,5,pending,26-01-26,45999,229995
o0350,c0490,p0011,5,cancelled,25-10-02,89999,449995
o0351,c0135,p0022,1,delivered,25-05-01,19999,19999
o0352,c0268,p0018,3,pending,26-12-31,39999,119997
o0353,c0059,p0006,1,cancelled,26-06-04,89999,89999
o0354,c0485,p0030,1,shipped,25-09-09,32999,32999
o0355,c0151,p0012,2,cancelled,26-12-05,79999,159998
o0356,c0372,p0018,1,pending,25-04-04,39999,39999
o0357,c0252,p0022,4,shipped,26-05-06,19999,79996
o0358,c0025,p0005,2,shipped,25-08-06,119999,239998
o0359,c0314,p0005,4,delivered,26-09-09,119999,479996
o0360,c0378,p0021,1,delivered,25-06-11,9999,9999
o0361,c0109,p0018,1,shipped,25-04-17,39999,39999
o0362,c0362,p0014,2,pending,25-05-19,54999,109998
o0363,c0249,p0011,1,delivered,25-06-24,89999,89999
o0364,c0305,p0005,3,shipped,26-12-19,119999,359997
o0365,c0232,p0001,3,pending,25-05-02,199999,599997
o0366,c0487,p0021,4,delivered,25-03-02,9999,39996
o0367,c0409,p0016,4,shipped,26-09-14,42999,171996
o0368,c0243,p0005,1,cancelled,26-08-03,119999,119999
o0369,c0404,p0025,2,cancelled,25-03-20,14999,29998
o0370,c0325,p0027,5,delivered,26-11-03,7999,39995
o0371,c0360,p0006,3,pending,25-06-27,89999,269997
o0372,c0267,p0020,5,shipped,26-03-19,29999,149995
o0373,c0018,p0016,1,cancelled,25-02-09,42999,42999
o0374,c0205,p0011,1,cancelled,25-03-30,89999,89999
o0375,c0153,p0028,2,delivered,25-04-09,59999,119998
o0376,c0260,p0021,1,cancelled,26-01-31,9999,9999
o0377,c0324,p0018,3,shipped,25-02-19,39999,119997
o0378,c0201,p0019,2,pending,26-02-10,45999,91998
o0379,c0487,p0018,3,pending,26-07-26,39999,119997
o0380,c0225,p0021,2,pending,26-08-12,9999,19998
o0381,c0109,p0027,5,pending,25-04-16,7999,39995
o0382,c0372,p0010,4,cancelled,26-12-13,179999,719996
o0383,c0288,p0017,1,pending,26-05-09,49999,49999
o0384,c0142,p0015,2,cancelled,25-07-10,34999,69998
o0385,c0259,p0021,2,delivered,25-01-14,9999,19998
o0386,c0201,p0004,3,cancelled,25-06-05,129999,389997
o0387,c0405,p0020,2,shipped,26-05-21,29999,59998
o0388,c0240,p0003,2,cancelled,25-04-02,139999,279998
o0389,c0022,p0013,1,pending,25-03-04,74999,74999
o0390,c0458,p0010,4,cancelled,26-09-24,179999,719996
o0391,c0364,p0026,2,pending,25-06-20,12999,25998
o0392,c0219,p0027,5,cancelled,25-01-06,7999,39995
o0393,c0412,p0007,4,pending,25-07-29,159999,639996
o0394,c0402,p0022,4,cancelled,26-02-04,19999,79996
o0395,c0192,p0006,2,delivered,25-11-06,89999,179998
o0396,c0376,p0013,3,shipped,25-11-16,74999,224997
o0397,c0094,p0008,3,pending,25-09-26,189999,569997
o0398,c0390,p0019,3,cancelled,26-08-09,45999,137997
o0399,c0448,p0003,2,shipped,25-03-14,139999,279998
o0400,c0330,p0025,5,pending,25-01-29,14999,74995
o0401,c0364,p0026,5,delivered,26-01-18,12999,64995
o0402,c0463,p0025,4,delivered,25-07-10,14999,59996
o0403,c0425,p0014,4,shipped,26-02-24,54999,219996
o0404,c0292,p0003,3,cancelled,25-06-20,139999,419997
o0405,c0275,p0008,2,pending,25-06-23,189999,379998
o0406,c0191,p0012,5,pending,25-02-09,79999,399995
o0407,c0160,p0002,5,cancelled,25-06-28,149999,749995
o0408,c0120,p0017,5,shipped,26-09-07,49999,249995
o0409,c0036,p0005,4,delivered,25-09-24,119999,479996
o0410,c0200,p0008,3,shipped,26-07-11,189999,569997
o0411,c0488,p0029,4,delivered,25-11-24,24999,99996
o0412,c0169,p0015,1,pending,25-09-13,34999,34999
o0413,c0391,p0001,4,shipped,26-01-13,199999,799996
o0414,c0408,p0023,5,delivered,25-12-11,39999,199995
o0415,c0078,p0017,3,delivered,26-05-31,49999,149997
o0416,c0450,p0017,4,pending,25-05-20,49999,199996
o0417,c0257,p0019,1,cancelled,25-10-04,45999,45999
o0418,c0098,p0026,4,pending,26-11-17,12999,51996
o0419,c0240,p0004,3,cancelled,26-05-07,129999,389997
o0420,c0014,p0013,5,shipped,26-12-09,74999,374995
o0421,c0187,p0003,2,shipped,26-06-16,139999,279998
o0422,c0464,p0009,3,delivered,26-01-27,149999,449997
o0423,c0372,p0026,1,pending,25-11-26,12999,12999
o0424,c0089,p0015,5,cancelled,25-06-23,34999,174995
o0425,c0051,p0021,2,pending,25-11-08,9999,19998
o0426,c0371,p0001,3,delivered,26-09-04,199999,599997
o0427,c0251,p0002,2,shipped,25-11-19,149999,299998
o0428,c0039,p0007,4,cancelled,26-02-26,159999,639996
o0429,c0066,p0016,2,delivered,25-12-04,42999,85998
o0430,c0067,p0001,2,cancelled,25-12-11,199999,399998
o0431,c0226,p0024,2,delivered,25-07-18,17999,35998
o0432,c0432,p0005,5,cancelled,26-09-02,119999,599995
o0433,c0426,p0021,5,cancelled,25-06-15,9999,49995
o0434,c0240,p0017,1,shipped,25-08-18,49999,49999
o0435,c0247,p0001,4,cancelled,25-12-23,199999,799996
o0436,c0289,p0022,4,pending,26-03-25,19999,79996
o0437,c0409,p0017,1,shipped,25-02-20,49999,49999
o0438,c0466,p0016,3,delivered,25-01-27,42999,128997
o0439,c0455,p0006,2,delivered,26-01-19,89999,179998
o0440,c0254,p0009,3,pending,25-07-20,149999,449997
o0441,c0423,p0010,2,shipped,26-12-12,179999,359998
o0442,c0315,p0025,3,shipped,26-06-07,14999,44997
o0443,c0451,p0011,1,delivered,26-10-20,89999,89999
o0444,c0105,p0002,1,cancelled,26-09-26,149999,149999
o0445,c0372,p0009,4,shipped,25-12-23,149999,599996
o0446,c0197,p0021,1,shipped,25-10-13,9999,9999
o0447,c0390,p0002,5,shipped,25-09-02,149999,749995
o0448,c0397,p0021,4,pending,26-04-14,9999,39996
o0449,c0071,p0013,5,delivered,25-04-14,74999,374995
o0450,c0389,p0009,4,shipped,25-10-18,149999,599996
o0451,c0306,p0027,2,cancelled,26-09-06,7999,15998
o0452,c0047,p0018,4,pending,25-09-23,39999,159996
o0453,c0291,p0017,2,delivered,25-03-18,49999,99998
o0454,c0323,p0008,4,shipped,25-06-02,189999,759996
o0455,c0297,p0002,3,cancelled,25-11-07,149999,449997
o0456,c0199,p0004,2,cancelled,26-06-17,129999,259998
o0457,c0237,p0028,4,cancelled,26-11-16,59999,239996
o0458,c0262,p0010,4,pending,25-08-18,179999,719996
o0459,c0261,p0002,2,shipped,25-05-22,149999,299998
o0460,c0416,p0021,4,pending,26-08-15,9999,39996
o0461,c0122,p0023,1,cancelled,25-10-21,39999,39999
o0462,c0261,p0026,5,delivered,25-07-28,12999,64995
o0463,c0010,p0006,1,pending,26-10-15,89999,89999
o0464,c0191,p0003,4,cancelled,25-12-12,139999,559996
